President,Start Date,End Date,Approving,Disapproving,Unsure/NoData
,02/01/2016,02/04/2016,47,49,4
,01/31/2016,02/03/2016,48,48,4
,01/30/2016,02/01/2016,50,46,4
,01/29/2016,01/31/2016,49,47,4
,01/28/2016,01/30/2016,49,48,3
,01/27/2016,01/29/2016,48,48,4
,01/26/2016,01/28/2016,48,48,4
,01/25/2016,01/27/2016,48,48,4
,01/24/2016,01/26/2016,48,48,4
,01/23/2016,01/25/2016,49,47,4
,01/22/2016,01/24/2016,48,46,6
,01/21/2016,01/23/2016,49,47,4
,01/20/2016,01/22/2016,49,47,4
,01/19/2016,01/21/2016,49,48,3
,01/18/2016,01/20/2016,47,48,5
,01/17/2016,01/19/2016,48,48,4
,01/16/2016,01/18/2016,49,46,5
,01/15/2016,01/17/2016,51,45,4
,01/14/2016,01/16/2016,49,47,4
,01/13/2016,01/15/2016,49,46,5
,01/12/2016,01/14/2016,48,47,5
,01/11/2016,01/13/2016,47,48,5
,01/10/2016,01/12/2016,44,50,6
,01/09/2016,01/11/2016,45,50,5
,01/08/2016,01/10/2016,47,49,4
,01/07/2016,01/09/2016,47,49,4
,01/06/2016,01/08/2016,46,49,5
,01/05/2016,01/07/2016,45,50,5
,01/04/2016,01/06/2016,47,48,5
,01/03/2016,01/05/2016,46,50,4
,01/02/2016,01/04/2016,46,50,4
,12/30/2015,01/03/2016,45,51,4
,12/29/2015,01/02/2016,45,51,4
,12/28/2015,12/30/2015,44,52,4
,12/27/2015,12/29/2015,46,50,4
,12/23/2015,12/28/2015,47,49,4
,12/22/2015,12/27/2015,48,48,4
,12/21/2015,12/23/2015,46,50,4
,12/20/2015,12/22/2015,46,50,4
,12/19/2015,12/21/2015,46,50,4
,12/18/2015,12/20/2015,45,50,5
,12/17/2015,12/19/2015,44,51,5
,12/16/2015,12/18/2015,42,53,5
,12/15/2015,12/17/2015,43,53,4
,12/14/2015,12/16/2015,45,51,4
,12/13/2015,12/15/2015,46,50,4
,12/12/2015,12/14/2015,46,50,4
,12/11/2015,12/13/2015,46,50,4
,12/10/2015,12/12/2015,45,50,5
,12/09/2015,12/11/2015,44,51,5
,12/08/2015,12/10/2015,44,51,5
,12/07/2015,12/09/2015,45,50,5
,12/06/2015,12/08/2015,47,49,4
,12/05/2015,12/07/2015,47,49,4
,12/04/2015,12/06/2015,49,48,3
,12/03/2015,12/05/2015,47,48,5
,12/02/2015,12/04/2015,48,47,5
,12/01/2015,12/03/2015,47,48,5
,11/30/2015,12/02/2015,47,50,3
,11/29/2015,12/01/2015,46,50,4
,11/28/2015,11/30/2015,46,50,4
,11/27/2015,11/29/2015,47,47,6
,11/25/2015,11/28/2015,46,48,6
,11/24/2015,11/27/2015,46,49,5
,11/23/2015,11/25/2015,44,51,5
,11/22/2015,11/24/2015,44,51,5
,11/21/2015,11/23/2015,44,52,4
,11/20/2015,11/22/2015,43,52,5
,11/19/2015,11/21/2015,45,52,3
,11/17/2015,11/20/2015,44,53,3
,11/16/2015,11/19/2015,45,51,4
,11/15/2015,11/17/2015,45,50,5
,11/14/2015,11/16/2015,49,47,4
,11/13/2015,11/15/2015,51,44,5
,11/12/2015,11/14/2015,50,45,5
,11/11/2015,11/13/2015,48,48,4
,11/10/2015,11/12/2015,47,49,4
,11/09/2015,11/11/2015,47,49,4
,11/08/2015,11/10/2015,49,48,3
,11/07/2015,11/09/2015,48,49,3
,11/06/2015,11/08/2015,48,49,3
,11/05/2015,11/07/2015,48,49,3
,11/04/2015,11/06/2015,49,48,3
,11/03/2015,11/05/2015,49,47,4
,11/02/2015,11/04/2015,49,48,3
,11/01/2015,11/03/2015,49,47,4
,10/31/2015,11/02/2015,48,48,4
,10/30/2015,11/01/2015,47,48,5
,10/29/2015,10/31/2015,46,50,4
,10/28/2015,10/30/2015,44,51,5
,10/27/2015,10/29/2015,47,49,4
,10/26/2015,10/28/2015,47,48,5
,10/25/2015,10/27/2015,50,47,3
,10/24/2015,10/26/2015,49,48,3
,10/23/2015,10/25/2015,47,49,4
,10/22/2015,10/24/2015,46,50,4
,10/21/2015,10/23/2015,46,49,5
,10/20/2015,10/22/2015,46,50,4
,10/19/2015,10/21/2015,45,50,5
,10/18/2015,10/20/2015,45,50,5
,10/17/2015,10/19/2015,45,51,4
,10/16/2015,10/18/2015,47,50,3
,10/15/2015,10/17/2015,46,50,4
,10/14/2015,10/16/2015,46,49,5
,10/13/2015,10/15/2015,45,50,5
,10/12/2015,10/14/2015,45,50,5
,10/11/2015,10/13/2015,45,51,4
,10/10/2015,10/12/2015,47,49,4
,10/09/2015,10/11/2015,46,49,5
,10/08/2015,10/10/2015,47,49,4
,10/06/2015,10/09/2015,44,51,5
,10/05/2015,10/08/2015,45,50,5
,10/04/2015,10/06/2015,46,49,5
,10/03/2015,10/05/2015,47,48,5
,10/02/2015,10/04/2015,48,48,4
,10/01/2015,10/03/2015,45,51,4
,09/30/2015,10/02/2015,46,49,5
,09/29/2015,10/01/2015,47,48,5
,09/28/2015,09/30/2015,47,48,5
,09/27/2015,09/29/2015,47,48,5
,09/26/2015,09/28/2015,46,51,5
,09/25/2015,09/27/2015,47,50,3
,09/24/2015,09/26/2015,47,50,3
,09/23/2015,09/25/2015,48,49,3
,09/22/2015,09/24/2015,48,48,4
,09/21/2015,09/23/2015,48,49,3
,09/20/2015,09/22/2015,47,50,3
,09/19/2015,09/21/2015,46,51,5
,09/18/2015,09/20/2015,45,52,3
,09/17/2015,09/19/2015,45,51,4
,09/16/2015,09/18/2015,45,52,3
,09/15/2015,09/17/2015,45,52,3
,09/14/2015,09/16/2015,46,50,4
,09/13/2015,09/15/2015,48,48,4
,09/12/2015,09/14/2015,48,47,5
,09/11/2015,09/13/2015,46,50,4
,09/10/2015,09/12/2015,45,50,5
,09/09/2015,09/11/2015,45,50,5
,09/08/2015,09/10/2015,47,48,5
,09/06/2015,09/09/2015,49,46,5
,09/05/2015,09/08/2015,49,47,4
,09/04/2015,09/06/2015,49,47,4
,09/03/2015,09/05/2015,46,50,4
,09/02/2015,09/04/2015,46,50,4
,09/01/2015,09/03/2015,45,51,4
,08/31/2015,09/02/2015,45,51,4
,08/30/2015,09/01/2015,45,50,5
,08/29/2015,08/31/2015,46,49,5
,08/28/2015,08/30/2015,47,48,5
,08/27/2015,08/29/2015,46,50,4
,08/26/2015,08/28/2015,46,51,3
,08/25/2015,08/27/2015,45,52,3
,08/24/2015,08/26/2015,44,51,5
,08/23/2015,08/25/2015,44,51,5
,08/22/2015,08/24/2015,44,51,5
,08/21/2015,08/23/2015,45,51,4
,08/20/2015,08/22/2015,42,53,5
,08/19/2015,08/21/2015,43,53,4
,08/18/2015,08/20/2015,45,50,5
,08/17/2015,08/19/2015,45,50,5
,08/16/2015,08/18/2015,46,49,5
,08/15/2015,08/17/2015,44,51,5
,08/14/2015,08/16/2015,46,49,5
,08/13/2015,08/15/2015,45,50,5
,08/12/2015,08/14/2015,45,49,6
,08/11/2015,08/13/2015,47,49,4
,08/10/2015,08/12/2015,46,49,5
,08/09/2015,08/11/2015,49,47,4
,08/08/2015,08/10/2015,48,48,4
,08/07/2015,08/09/2015,47,49,4
,08/06/2015,08/08/2015,45,50,5
,08/05/2015,08/07/2015,44,52,4
,08/04/2015,08/06/2015,45,51,4
,08/03/2015,08/05/2015,45,51,4
,08/02/2015,08/04/2015,46,50,4
,08/01/2015,08/03/2015,46,50,4
,07/31/2015,08/02/2015,47,49,4
,07/30/2015,08/01/2015,47,48,5
,07/29/2015,07/31/2015,46,49,5
,07/28/2015,07/30/2015,47,48,5
,07/27/2015,07/29/2015,45,49,6
,07/26/2015,07/28/2015,46,49,5
,07/25/2015,07/27/2015,44,50,6
,07/24/2015,07/26/2015,46,49,5
,07/23/2015,07/25/2015,46,49,5
,07/22/2015,07/24/2015,46,49,5
,07/21/2015,07/23/2015,46,49,5
,07/20/2015,07/22/2015,45,50,5
,07/19/2015,07/21/2015,46,49,5
,07/18/2015,07/20/2015,45,50,5
,07/17/2015,07/19/2015,47,48,5
,07/16/2015,07/18/2015,46,48,6
,07/15/2015,07/17/2015,47,47,6
,07/14/2015,07/16/2015,46,48,6
,07/13/2015,07/15/2015,45,49,6
,07/12/2015,07/14/2015,46,49,5
,07/11/2015,07/13/2015,46,49,5
,07/10/2015,07/12/2015,47,48,5
,07/09/2015,07/11/2015,45,49,6
,07/08/2015,07/10/2015,46,50,4
,07/07/2015,07/09/2015,44,51,5
,07/06/2015,07/08/2015,46,50,4
,07/05/2015,07/07/2015,47,48,5
,07/03/2015,07/06/2015,48,47,5
,07/02/2015,07/05/2015,46,48,6
,07/01/2015,07/03/2015,45,50,5
,06/30/2015,07/02/2015,44,51,5
,06/29/2015,07/01/2015,45,51,4
,06/28/2015,06/30/2015,46,50,4
,06/27/2015,06/29/2015,46,50,4
,06/26/2015,06/28/2015,48,47,5
,06/25/2015,06/27/2015,47,49,4
,06/24/2015,06/26/2015,47,49,4
,06/23/2015,06/25/2015,46,50,4
,06/22/2015,06/24/2015,46,49,5
,06/21/2015,06/23/2015,46,48,6
,06/20/2015,06/22/2015,45,49,6
,06/19/2015,06/21/2015,45,50,5
,06/18/2015,06/20/2015,44,50,6
,06/17/2015,06/19/2015,44,50,6
,06/16/2015,06/18/2015,44,50,6
,06/15/2015,06/17/2015,44,50,6
,06/14/2015,06/16/2015,47,47,6
,06/13/2015,06/15/2015,46,48,6
,06/12/2015,06/14/2015,47,48,5
,06/11/2015,06/13/2015,45,49,6
,06/10/2015,06/12/2015,45,49,6
,06/09/2015,06/11/2015,44,51,5
,06/08/2015,06/10/2015,43,51,6
,06/07/2015,06/09/2015,45,49,6
,06/06/2015,06/08/2015,49,46,5
,06/05/2015,06/07/2015,46,48,6
,06/04/2015,06/06/2015,46,50,4
,06/03/2015,06/05/2015,45,50,5
,06/01/2015,06/04/2015,46,50,4
,05/31/2015,06/03/2015,47,49,4
,05/30/2015,06/01/2015,47,48,5
,05/29/2015,05/31/2015,49,47,4
,05/28/2015,05/30/2015,47,49,4
,05/27/2015,05/29/2015,47,48,5
,05/26/2015,05/28/2015,45,49,6
,05/25/2015,05/27/2015,45,49,6
,05/24/2015,05/26/2015,44,51,5
,05/23/2015,05/25/2015,47,49,4
,05/22/2015,05/24/2015,49,47,4
,05/21/2015,05/23/2015,49,47,4
,05/20/2015,05/22/2015,45,50,5
,05/19/2015,05/21/2015,42,53,5
,05/18/2015,05/20/2015,43,51,6
,05/17/2015,05/19/2015,46,49,5
,05/16/2015,05/18/2015,48,47,5
,05/15/2015,05/17/2015,48,47,5
,05/14/2015,05/16/2015,48,48,4
,05/13/2015,05/15/2015,47,49,4
,05/12/2015,05/14/2015,46,50,4
,05/11/2015,05/13/2015,45,49,6
,05/10/2015,05/12/2015,46,48,6
,05/09/2015,05/11/2015,46,48,6
,05/08/2015,05/10/2015,47,47,6
,05/07/2015,05/09/2015,46,49,5
,05/06/2015,05/08/2015,46,49,5
,05/05/2015,05/07/2015,48,47,5
,05/04/2015,05/06/2015,48,47,5
,05/03/2015,05/05/2015,47,49,4
,05/02/2015,05/04/2015,46,49,5
,05/01/2015,05/03/2015,46,49,5
,04/30/2015,05/02/2015,48,48,4
,04/29/2015,05/01/2015,47,49,4
,04/28/2015,04/30/2015,49,47,4
,04/27/2015,04/29/2015,49,47,4
,04/26/2015,04/28/2015,49,47,4
,04/25/2015,04/27/2015,46,48,6
,04/24/2015,04/26/2015,46,48,6
,04/23/2015,04/25/2015,46,48,6
,04/22/2015,04/24/2015,47,48,5
,04/21/2015,04/23/2015,45,49,6
,04/20/2015,04/22/2015,44,50,6
,04/19/2015,04/21/2015,45,50,5
,04/18/2015,04/20/2015,46,50,4
,04/17/2015,04/19/2015,45,51,4
,04/16/2015,04/18/2015,44,51,5
,04/15/2015,04/17/2015,45,51,4
,04/14/2015,04/16/2015,47,50,3
,04/13/2015,04/15/2015,47,50,3
,04/12/2015,04/14/2015,46,49,5
,04/11/2015,04/13/2015,45,50,5
,04/10/2015,04/12/2015,47,49,4
,04/09/2015,04/11/2015,48,48,4
,04/08/2015,04/10/2015,49,47,4
,04/07/2015,04/09/2015,47,49,4
,04/06/2015,04/08/2015,48,48,4
,04/04/2015,04/07/2015,46,49,5
,04/03/2015,04/06/2015,49,46,5
,04/02/2015,04/04/2015,47,47,6
,04/01/2015,04/03/2015,50,46,4
,03/31/2015,04/02/2015,48,48,4
,03/30/2015,04/01/2015,46,49,5
,03/29/2015,03/31/2015,45,49,6
,03/28/2015,03/30/2015,47,48,5
,03/27/2015,03/29/2015,49,46,5
,03/26/2015,03/28/2015,48,47,5
,03/25/2015,03/27/2015,47,49,4
,03/24/2015,03/26/2015,45,51,4
,03/23/2015,03/25/2015,44,52,4
,03/22/2015,03/24/2015,45,50,5
,03/21/2015,03/23/2015,45,50,5
,03/20/2015,03/22/2015,44,51,5
,03/19/2015,03/21/2015,43,52,5
,03/18/2015,03/20/2015,44,51,5
,03/17/2015,03/19/2015,46,49,5
,03/16/2015,03/18/2015,46,48,6
,03/15/2015,03/17/2015,47,48,5
,03/14/2015,03/16/2015,47,48,5
,03/13/2015,03/15/2015,48,47,5
,03/12/2015,03/14/2015,48,47,5
,03/11/2015,03/13/2015,48,47,5
,03/10/2015,03/12/2015,47,48,5
,03/09/2015,03/11/2015,46,49,5
,03/08/2015,03/10/2015,45,50,5
,03/07/2015,03/09/2015,46,49,5
,03/06/2015,03/08/2015,47,49,4
,03/05/2015,03/07/2015,47,49,4
,03/04/2015,03/06/2015,45,50,5
,03/03/2015,03/05/2015,45,50,5
,03/02/2015,03/04/2015,46,49,5
,03/01/2015,03/03/2015,48,47,5
,02/28/2015,03/02/2015,49,47,4
,02/27/2015,03/01/2015,47,48,5
,02/26/2015,02/28/2015,44,51,5
