President,Start Date,End Date,Approving,Disapproving,Unsure/NoData
Barak Obama,01/17/2017,01/19/2017,59,37,4
,01/15/2017,01/18/2017,58,38,4
,01/14/2017,01/17/2017,57,39,4
,01/13/2017,01/15/2017,57,38,5
,01/12/2017,01/14/2017,57,39,4
,01/11/2017,01/13/2017,58,37,5
,01/10/2017,01/12/2017,57,40,3
,01/09/2017,01/11/2017,57,40,3
,01/08/2017,01/10/2017,55,42,3
,01/07/2017,01/09/2017,56,40,0
,01/06/2017,01/08/2017,56,41,3
,01/05/2017,01/07/2017,56,40,4
,01/04/2017,01/06/2017,56,41,3
,01/03/2017,01/05/2017,56,42,2
,01/02/2017,01/04/2017,54,43,3
,12/30/2016,01/03/2017,53,43,4
,12/29/2016,01/02/2017,54,42,4
,12/28/2016,12/30/2016,55,40,5
,12/27/2016,12/29/2016,56,41,3
,12/26/2016,12/28/2016,55,40,5
,12/23/2016,12/27/2016,56,40,4
,12/22/2016,12/26/2016,56,40,4
,12/21/2016,12/23/2016,56,41,3
,12/20/2016,12/22/2016,56,40,4
,12/19/2016,12/21/2016,56,40,4
,12/18/2016,12/20/2016,57,39,4
,12/17/2016,12/19/2016,57,39,4
,12/16/2016,12/18/2016,57,38,5
,12/15/2016,12/17/2016,56,40,4
,12/14/2016,12/16/2016,56,40,4
,12/13/2016,12/15/2016,56,41,3
,12/12/2016,12/14/2016,56,41,3
,12/11/2016,12/13/2016,57,40,3
,12/10/2016,12/12/2016,56,41,3
,12/09/2016,12/11/2016,59,39,2
,12/08/2016,12/10/2016,58,40,2
,12/06/2016,12/09/2016,59,39,2
,12/05/2016,12/08/2016,56,41,3
,12/04/2016,12/06/2016,55,41,4
,12/03/2016,12/05/2016,54,42,4
,12/02/2016,12/04/2016,54,42,4
,12/01/2016,12/03/2016,53,44,3
,11/29/2016,12/02/2016,53,45,2
,11/28/2016,12/01/2016,54,43,3
,11/27/2016,11/29/2016,57,40,3
,11/26/2016,11/28/2016,57,39,4
,11/25/2016,11/27/2016,57,39,4
,11/23/2016,11/26/2016,56,40,4
,11/22/2016,11/25/2016,56,40,4
,11/21/2016,11/23/2016,55,42,3
,11/20/2016,11/22/2016,55,42,3
,11/19/2016,11/21/2016,56,42,2
,11/18/2016,11/20/2016,57,40,3
,11/17/2016,11/19/2016,56,41,3
,11/16/2016,11/18/2016,58,40,2
,11/15/2016,11/17/2016,56,42,2
,11/14/2016,11/16/2016,56,41,3
,11/13/2016,11/15/2016,56,40,4
,11/12/2016,11/14/2016,57,40,3
,11/11/2016,11/13/2016,57,40,3
,11/10/2016,11/12/2016,57,41,2
,11/09/2016,11/11/2016,57,40,3
,11/08/2016,11/10/2016,58,40,2
,11/07/2016,11/09/2016,56,42,2
,11/06/2016,11/08/2016,56,42,2
,11/05/2016,11/07/2016,56,42,8
,11/04/2016,11/06/2016,56,41,3
,11/03/2016,11/05/2016,53,44,3
,11/02/2016,11/04/2016,51,46,3
,10/31/2016,11/03/2016,49,48,3
,10/30/2016,11/02/2016,51,47,4
,10/29/2016,10/31/2016,53,45,2
,10/28/2016,10/30/2016,54,44,2
,10/27/2016,10/29/2016,55,43,2
,10/26/2016,10/28/2016,53,44,3
,10/25/2016,10/27/2016,54,43,3
,10/24/2016,10/26/2016,53,44,3
,10/23/2016,10/25/2016,52,44,4
,10/22/2016,10/24/2016,52,46,2
,10/21/2016,10/23/2016,54,43,3
,10/20/2016,10/22/2016,56,41,3
,10/19/2016,10/21/2016,57,40,3
,10/18/2016,10/20/2016,55,42,3
,10/17/2016,10/19/2016,55,42,3
,10/16/2016,10/18/2016,53,44,3
,10/15/2016,10/17/2016,54,43,3
,10/14/2016,10/16/2016,54,43,3
,10/13/2016,10/15/2016,55,41,4
,10/12/2016,10/14/2016,54,42,4
,10/11/2016,10/13/2016,53,43,4
,10/10/2016,10/12/2016,53,42,5
,10/09/2016,10/11/2016,54,42,4
,10/08/2016,10/10/2016,55,42,3
,10/07/2016,10/09/2016,53,44,3
,10/06/2016,10/08/2016,52,46,2
,10/04/2016,10/07/2016,51,46,3
,10/03/2016,10/06/2016,51,45,4
,10/02/2016,10/04/2016,54,43,3
,10/01/2016,10/03/2016,54,43,3
,09/30/2016,10/02/2016,54,43,3
,09/29/2016,10/01/2016,52,45,3
,09/28/2016,09/30/2016,53,44,3
,09/27/2016,09/29/2016,52,44,4
,09/26/2016,09/28/2016,51,45,4
,09/25/2016,09/27/2016,50,45,5
,09/24/2016,09/26/2016,51,44,5
,09/23/2016,09/25/2016,54,41,5
,09/22/2016,09/24/2016,54,41,5
,09/21/2016,09/23/2016,53,42,5
,09/20/2016,09/22/2016,52,44,4
,09/19/2016,09/21/2016,52,45,3
,09/18/2016,09/20/2016,53,44,3
,09/17/2016,09/19/2016,51,45,4
,09/16/2016,09/18/2016,51,45,4
,09/15/2016,09/17/2016,52,44,4
,09/14/2016,09/16/2016,53,45,2
,09/13/2016,09/15/2016,54,43,3
,09/12/2016,09/14/2016,52,45,3
,09/11/2016,09/13/2016,53,44,3
,09/10/2016,09/12/2016,50,46,4
,09/09/2016,09/11/2016,51,45,4
,09/08/2016,09/10/2016,50,45,5
,09/06/2016,09/09/2016,50,46,4
,09/05/2016,09/08/2016,50,46,4
,09/04/2016,09/06/2016,51,45,4
,09/03/2016,09/05/2016,52,44,4
,09/02/2016,09/04/2016,52,44,4
,09/01/2016,09/03/2016,52,44,4
,08/31/2016,09/02/2016,51,45,4
,08/30/2016,09/01/2016,52,44,4
,08/29/2016,08/31/2016,52,44,4
,08/28/2016,08/30/2016,52,43,5
,08/27/2016,08/29/2016,51,44,5
,08/26/2016,08/28/2016,51,44,0
,08/25/2016,08/27/2016,52,44,4
,08/24/2016,08/26/2016,51,43,6
,08/23/2016,08/25/2016,51,44,5
,08/22/2016,08/24/2016,48,46,6
,08/21/2016,08/23/2016,51,44,5
,08/20/2016,08/22/2016,50,45,5
,08/19/2016,08/21/2016,52,44,4
,08/18/2016,08/20/2016,51,46,3
,08/16/2016,08/19/2016,52,45,3
,08/15/2016,08/18/2016,51,45,4
,08/14/2016,08/16/2016,52,45,3
,08/13/2016,08/15/2016,51,45,4
,08/12/2016,08/14/2016,53,44,3
,08/11/2016,08/13/2016,54,43,3
,08/10/2016,08/12/2016,53,43,4
,08/09/2016,08/11/2016,53,42,5
,08/08/2016,08/10/2016,49,46,5
,08/07/2016,08/09/2016,50,45,5
,08/06/2016,08/08/2016,52,45,3
,08/05/2016,08/07/2016,53,44,3
,08/04/2016,08/06/2016,52,45,3
,08/03/2016,08/05/2016,49,46,5
,08/02/2016,08/04/2016,50,45,5
,08/01/2016,08/03/2016,51,44,5
,07/31/2016,08/02/2016,52,44,4
,07/30/2016,08/01/2016,53,44,3
,07/29/2016,07/31/2016,54,43,3
,07/28/2016,07/30/2016,54,42,4
,07/27/2016,07/29/2016,53,43,4
,07/26/2016,07/28/2016,52,44,4
,07/25/2016,07/27/2016,51,46,3
,07/24/2016,07/26/2016,51,45,4
,07/23/2016,07/25/2016,50,46,4
,07/22/2016,07/24/2016,49,48,3
,07/20/2016,07/23/2016,49,47,4
,07/19/2016,07/22/2016,49,47,4
,07/18/2016,07/20/2016,49,47,4
,07/17/2016,07/19/2016,49,47,4
,07/16/2016,07/18/2016,49,46,5
,07/15/2016,07/17/2016,51,44,5
,07/14/2016,07/16/2016,49,46,5
,07/12/2016,07/15/2016,49,47,4
,07/11/2016,07/14/2016,47,48,5
,07/10/2016,07/12/2016,48,48,4
,07/09/2016,07/11/2016,49,47,4
,07/08/2016,07/10/2016,51,46,3
,07/07/2016,07/09/2016,51,45,4
,07/06/2016,07/08/2016,51,45,4
,07/05/2016,07/07/2016,51,45,4
,07/03/2016,07/06/2016,50,45,5
,07/02/2016,07/05/2016,50,45,5
,07/01/2016,07/03/2016,51,44,5
,06/30/2016,07/02/2016,51,45,4
,06/29/2016,07/01/2016,51,45,4
,06/28/2016,06/30/2016,51,45,4
,06/27/2016,06/29/2016,52,44,4
,06/26/2016,06/28/2016,51,44,5
,06/25/2016,06/27/2016,51,44,5
,06/24/2016,06/26/2016,50,45,5
,06/23/2016,06/25/2016,50,45,5
,06/22/2016,06/24/2016,50,46,4
,06/21/2016,06/23/2016,50,45,5
,06/20/2016,06/22/2016,49,46,5
,06/19/2016,06/21/2016,49,45,6
,06/18/2016,06/20/2016,50,45,5
,06/17/2016,06/19/2016,52,44,4
,06/16/2016,06/18/2016,53,44,3
,06/15/2016,06/17/2016,53,43,4
,06/14/2016,06/16/2016,53,45,2
,06/13/2016,06/15/2016,53,44,3
,06/12/2016,06/14/2016,53,44,3
,06/11/2016,06/13/2016,53,44,3
,06/10/2016,06/12/2016,52,44,4
,06/09/2016,06/11/2016,52,44,4
,06/08/2016,06/10/2016,54,42,4
,06/07/2016,06/09/2016,52,43,5
,06/06/2016,06/08/2016,53,43,4
,06/05/2016,06/07/2016,50,46,4
,06/04/2016,06/06/2016,51,44,5
,06/03/2016,06/05/2016,50,44,6
,06/02/2016,06/04/2016,51,44,5
,06/01/2016,06/03/2016,53,43,4
,05/31/2016,06/02/2016,51,45,4
,05/30/2016,06/01/2016,52,44,4
,05/29/2016,05/31/2016,51,45,4
,05/28/2016,05/30/2016,52,44,4
,05/27/2016,05/29/2016,53,44,3
,05/26/2016,05/28/2016,52,44,4
,05/25/2016,05/27/2016,50,46,4
,05/24/2016,05/26/2016,50,45,5
,05/23/2016,05/25/2016,52,44,4
,05/22/2016,05/24/2016,53,43,4
,05/21/2016,05/23/2016,52,44,4
,05/20/2016,05/22/2016,50,45,5
,05/19/2016,05/21/2016,52,43,5
,05/18/2016,05/20/2016,52,44,4
,05/17/2016,05/19/2016,51,45,4
,05/16/2016,05/18/2016,49,46,5
,05/15/2016,05/17/2016,50,45,5
,05/14/2016,05/16/2016,50,44,6
,05/13/2016,05/15/2016,51,44,5
,05/12/2016,05/14/2016,50,46,4
,05/11/2016,05/13/2016,50,46,4
,05/10/2016,05/12/2016,50,47,3
,05/09/2016,05/11/2016,52,44,4
,05/08/2016,05/10/2016,52,44,4
,05/07/2016,05/09/2016,53,43,4
,05/06/2016,05/08/2016,53,43,4
,05/05/2016,05/07/2016,53,43,4
,05/04/2016,05/06/2016,52,45,3
,05/03/2016,05/05/2016,51,45,4
,05/02/2016,05/04/2016,50,46,4
,05/01/2016,05/03/2016,51,45,4
,04/30/2016,05/02/2016,52,45,3
,04/29/2016,05/01/2016,52,45,3
,04/28/2016,04/30/2016,52,45,3
,04/27/2016,04/29/2016,50,46,4
,04/26/2016,04/28/2016,50,46,4
,04/25/2016,04/27/2016,49,46,5
,04/24/2016,04/26/2016,50,45,5
,04/23/2016,04/25/2016,50,46,4
,04/22/2016,04/24/2016,52,45,3
,04/21/2016,04/23/2016,50,46,4
,04/20/2016,04/22/2016,50,46,4
,04/19/2016,04/21/2016,51,44,5
,04/18/2016,04/20/2016,52,44,4
,04/17/2016,04/19/2016,51,46,3
,04/16/2016,04/18/2016,49,48,3
,04/15/2016,04/17/2016,49,47,4
,04/14/2016,04/16/2016,50,46,4
,04/13/2016,04/15/2016,49,47,4
,04/12/2016,04/14/2016,48,47,5
,04/11/2016,04/13/2016,48,48,4
,04/10/2016,04/12/2016,47,48,5
,04/09/2016,04/11/2016,48,48,4
,04/08/2016,04/10/2016,49,46,5
,04/07/2016,04/09/2016,51,45,4
,04/06/2016,04/08/2016,52,44,4
,04/05/2016,04/07/2016,52,44,4
,04/04/2016,04/06/2016,52,44,4
,04/03/2016,04/05/2016,51,44,5
,04/02/2016,04/04/2016,53,43,4
,04/01/2016,04/03/2016,52,43,5
,03/31/2016,04/02/2016,52,45,3
,03/30/2016,04/01/2016,50,46,4
,03/29/2016,03/31/2016,49,47,4
,03/28/2016,03/30/2016,49,47,4
,03/26/2016,03/29/2016,51,46,3
,03/25/2016,03/28/2016,53,44,3
,03/24/2016,03/26/2016,53,44,3
,03/23/2016,03/25/2016,53,44,3
,03/22/2016,03/24/2016,52,45,3
,03/21/2016,03/23/2016,52,45,3
,03/20/2016,03/22/2016,51,46,3
,03/19/2016,03/21/2016,51,45,4
,03/18/2016,03/20/2016,50,45,5
,03/17/2016,03/19/2016,52,44,4
,03/16/2016,03/18/2016,49,46,5
,03/15/2016,03/17/2016,49,47,4
,03/14/2016,03/16/2016,50,47,3
,03/13/2016,03/15/2016,52,45,3
,03/12/2016,03/14/2016,51,46,3
,03/11/2016,03/13/2016,51,46,3
,03/10/2016,03/12/2016,49,47,4
,03/09/2016,03/11/2016,51,44,5
,03/08/2016,03/10/2016,52,45,3
,03/07/2016,03/09/2016,52,44,4
,03/06/2016,03/08/2016,51,45,4
,03/05/2016,03/07/2016,50,47,3
,03/04/2016,03/06/2016,49,48,3
,03/03/2016,03/05/2016,51,46,3
,03/02/2016,03/04/2016,51,45,4
,03/01/2016,03/03/2016,51,44,5
,02/29/2016,03/02/2016,49,46,5
,02/28/2016,03/01/2016,49,46,5
,02/27/2016,02/29/2016,49,46,5
,02/26/2016,02/28/2016,49,46,5
,02/25/2016,02/27/2016,48,47,5
,02/24/2016,02/26/2016,47,48,5
,02/23/2016,02/25/2016,47,48,5
,02/22/2016,02/24/2016,48,48,4
,02/21/2016,02/23/2016,48,48,4
,02/20/2016,02/22/2016,47,49,4
,02/19/2016,02/21/2016,47,49,4
,02/18/2016,02/20/2016,48,48,4
,02/17/2016,02/19/2016,50,46,4
,02/16/2016,02/18/2016,50,46,4
,02/15/2016,02/17/2016,49,48,3
,02/14/2016,02/16/2016,47,50,3
,02/13/2016,02/15/2016,47,50,3
,02/12/2016,02/14/2016,47,49,4
,02/11/2016,02/13/2016,49,48,3
,02/10/2016,02/12/2016,49,47,4
,02/09/2016,02/11/2016,49,47,4
,02/08/2016,02/10/2016,48,48,4
,02/07/2016,02/09/2016,47,50,3
,02/06/2016,02/08/2016,46,51,3
,02/05/2016,02/07/2016,47,50,3
,02/04/2016,02/06/2016,46,50,4
,02/03/2016,02/05/2016,46,50,4
