President,Start Date,End Date,Approving,Disapproving,Unsure/NoData
George Bush,01/08/1993,01/11/1993,56,37,7
,12/18/1992,12/20/1992,49,40,10
,12/04/1992,12/06/1992,48,47,3
,11/20/1992,11/22/1992,42,46,11
,11/20/1992,11/22/1992,42,46,11
,10/22/1992,10/23/1992,37,58,4
,10/12/1992,10/14/1992,34,56,9
,09/24/1992,10/13/1992,29,59,10
,10/01/1992,10/03/1992,33,57,8
,09/17/1992,09/20/1992,36,53,9
,09/11/1992,09/15/1992,39,54,6
,09/10/1992,09/11/1992,35,58,6
,08/31/1992,09/02/1992,39,53,6
,08/21/1992,08/23/1992,39,54,6
,08/21/1992,08/21/1992,37,55,6
,08/13/1992,08/14/1992,36,57,5
,08/10/1992,08/12/1992,35,58,6
,08/06/1992,08/07/1992,34,59,6
,07/31/1992,08/02/1992,29,59,10
,07/24/1992,07/26/1992,31,59,9
,07/23/1992,07/24/1992,31,59,8
,06/26/1992,07/01/1992,38,54,6
,06/12/1992,06/14/1992,36,54,8
,06/04/1992,06/08/1992,36,56,6
,05/18/1992,05/20/1992,41,51,7
,04/23/1992,05/14/1992,40,48,10
,05/07/1992,05/10/1992,40,52,6
,04/20/1992,04/22/1992,42,47,10
,04/09/1992,04/12/1992,39,53,6
,03/26/1992,03/29/1992,41,51,7
,03/12/1992,03/28/1992,40,48,10
,03/20/1992,03/22/1992,40,49,9
,03/11/1992,03/12/1992,41,46,11
,02/28/1992,03/01/1992,41,52,5
,02/14/1992,02/27/1992,38,50,10
,02/20/1992,02/21/1992,41,51,7
,02/19/1992,02/20/1992,38,47,13
,02/06/1992,02/09/1992,43,47,8
,01/31/1992,02/02/1992,46,48,5
,01/28/1992,01/28/1992,43,51,4
,01/16/1992,01/19/1992,45,47,6
,01/03/1992,01/06/1992,46,46,7
,11/21/1991,11/24/1991,51,39,9
,10/24/1991,10/27/1991,62,29,8
,10/17/1991,10/20/1991,65,26,7
,10/10/1991,10/13/1991,65,27,6
,09/01/1991,09/30/1991,62,27,9
,09/26/1991,09/29/1991,66,24,9
,09/10/1991,09/10/1991,65,25,9
,08/29/1991,09/03/1991,68,22,9
,08/01/1991,08/30/1991,69,21,9
,08/23/1991,08/25/1991,73,18,7
,08/08/1991,08/23/1991,67,22,10
,08/08/1991,08/11/1991,70,21,7
,07/25/1991,07/28/1991,70,20,8
,07/07/1991,07/25/1991,67,23,9
,07/18/1991,07/21/1991,69,21,9
,07/11/1991,07/14/1991,71,20,7
,06/26/1991,06/29/1991,71,21,6
,06/06/1991,06/20/1991,69,19,10
,06/13/1991,06/16/1991,72,19,8
,05/30/1991,06/02/1991,73,17,9
,05/23/1991,05/26/1991,76,15,7
,05/16/1991,05/19/1991,76,15,7
,05/02/1991,05/05/1991,74,19,6
,04/25/1991,04/28/1991,76,15,8
,04/23/1991,04/25/1991,73,13,13
,04/11/1991,04/14/1991,77,12,10
,04/04/1991,04/06/1991,82,12,5
,03/28/1991,03/30/1991,81,11,6
,03/21/1991,03/24/1991,83,10,5
,03/14/1991,03/17/1991,86,9,4
,03/07/1991,03/10/1991,87,8,4
,02/16/1991,03/07/1991,79,14,6
,02/28/1991,03/03/1991,89,7,3
,02/21/1991,02/24/1991,80,13,6
,02/14/1991,02/17/1991,80,13,6
,02/14/1991,02/15/1991,79,15,5
,02/07/1991,02/10/1991,78,17,3
,01/26/1991,02/07/1991,74,18,7
,01/23/1991,01/26/1991,82,12,4
,01/24/1991,01/25/1991,86,9,4
,01/19/1991,01/22/1991,79,14,5
,01/17/1991,01/20/1991,82,11,5
,01/17/1991,01/18/1991,82,12,4
,01/11/1991,01/13/1991,64,24,10
,01/10/1991,01/11/1991,64,26,9
,01/03/1991,01/06/1991,58,30,10
,12/07/1990,12/23/1990,62,27,10
,12/13/1990,12/16/1990,62,30,6
,12/06/1990,12/09/1990,57,33,9
,12/06/1990,12/07/1990,62,27,9
,11/29/1990,12/02/1990,60,29,10
,11/09/1990,11/25/1990,51,36,12
,11/15/1990,11/18/1990,54,32,13
,11/15/1990,11/16/1990,58,32,8
,11/08/1990,11/11/1990,57,33,8
,10/25/1990,10/28/1990,54,35,10
,10/18/1990,10/21/1990,52,36,10
,10/18/1990,10/19/1990,56,32,10
,10/11/1990,10/14/1990,56,33,10
,09/21/1990,10/09/1990,66,22,11
,10/03/1990,10/04/1990,65,25,9
,09/27/1990,09/30/1990,67,19,12
,09/14/1990,09/16/1990,73,16,9
,09/11/1990,09/12/1990,54,34,11
,09/10/1990,09/11/1990,76,15,7
,08/30/1990,09/02/1990,74,17,8
,08/10/1990,08/26/1990,68,20,11
,08/23/1990,08/26/1990,75,16,7
,08/23/1990,08/24/1990,73,16,10
,08/16/1990,08/19/1990,74,16,8
,08/09/1990,08/12/1990,74,15,10
,07/20/1990,08/12/1990,61,26,12
,08/09/1990,08/10/1990,75,15,9
,07/19/1990,07/22/1990,60,25,14
,07/07/1990,07/15/1990,59,24,15
,07/12/1990,07/13/1990,64,26,9
,07/05/1990,07/08/1990,63,24,12
,06/14/1990,06/17/1990,69,16,14
,05/04/1990,05/22/1990,65,20,13
,05/04/1990,05/22/1990,67,19,13
,04/06/1990,04/18/1990,71,15,13
,04/05/1990,04/08/1990,67,16,16
,03/16/1990,03/29/1990,73,18,8
,03/08/1990,03/11/1990,68,18,13
,02/09/1990,03/11/1990,72,15,11
,02/15/1990,02/18/1990,73,15,11
,02/08/1990,02/11/1990,73,16,10
,12/08/1989,01/08/1990,66,15,17
,01/04/1990,01/07/1990,79,10,9
,12/07/1989,12/10/1989,71,20,8
,11/10/1989,11/25/1989,63,22,14
,11/09/1989,11/12/1989,69,17,13
,10/13/1989,10/23/1989,59,22,17
,10/05/1989,10/08/1989,67,20,12
,10/05/1989,10/06/1989,66,17,15
,09/22/1989,10/01/1989,66,18,14
,09/07/1989,09/10/1989,69,16,13
,08/15/1989,08/27/1989,64,18,17
,08/08/1989,08/20/1989,60,20,19
,08/10/1989,08/13/1989,69,18,12
,07/06/1989,07/09/1989,66,18,15
,06/09/1989,06/22/1989,63,16,20
,06/08/1989,06/11/1989,69,14,16
,06/01/1989,06/02/1989,62,18,19
,05/15/1989,05/18/1989,62,17,19
,05/12/1989,05/12/1989,61,22,16
,05/05/1989,05/08/1989,58,18,23
